Sheet: الاقسام والبنود
Shape: (60, 3)
Columns: ['Count of تاريخ', 'Unnamed: 1', 'Unnamed: 2']

  Count of تاريخ            Unnamed: 1 Unnamed: 2
           القسم          البند تفصيلي      Total
  اعمال التراخيص        اعمال التراخيص          2
 اعمال التراخيص         اعمال التراخيص          4
  اعمال التصميم          اعمال التصميم         10
 اعمال الخرسانات          اعمال الحديد          3
 اعمال الخرسانات     اعمال الكهرباء(خ)          2
 اعمال الخرسانات      اعمال النقاشة(خ)          1
اعمال الخرسانات           اعمال البناء         90
اعمال الخرسانات           اعمال الحديد          5
اعمال الخرسانات  اعمال النجارة المسلحة          9
       التشطيبات                  اخرى          8
       التشطيبات    اعمال curtain wall          1
       التشطيبات        اعمال الارضيات         26
       التشطيبات     اعمال الارضيات(خ)          4
       التشطيبات     اعمال الارضيات(م)          6
       التشطيبات       اعمال الاسانسير          3
       التشطيبات         اعمال الاستور          2
       التشطيبات          اعمال البناء         71
       التشطيبات      اعمال البناء (خ)          3
       التشطيبات      اعمال البناء (م)          8
       التشطيبات       اعمال التشوينات         31
       التشطيبات        اعمال التكيفات         11
       التشطيبات    اعمال الجبسون بورد         16
       التشطيبات          اعمال الحديد         14
       التشطيبات          اعمال الرخام          6
       التشطيبات     اعمال السباكة (خ)         17
       التشطيبات     اعمال السباكة (م)         16
       التشطيبات           اعمال الصحي          6
       التشطيبات           اعمال العزل          7
       التشطيبات        اعمال الكهرباء          1
       التشطيبات     اعمال الكهرباء(خ)         30
       التشطيبات     اعمال الكهرباء(م)         24
       التشطيبات         اعمال المحارة          2
       التشطيبات      اعمال المحارة(خ)         27
       التشطيبات      اعمال المحارة(م)         29
       التشطيبات         اعمال النجارة          6
       التشطيبات         اعمال النظافة         20
       التشطيبات      اعمال النقاشة(خ)         12
       التشطيبات      اعمال النقاشة(م)          5
       التشطيبات           اعمال النقل          6
       التشطيبات    اعمال حمام السباحة          2
       التشطيبات             اعمالupvc          7
       التشطيبات              اكراميات         12
       التشطيبات                 الفرش          2
       التشطيبات  تشوينات الارضيات (خ)          6
       التشطيبات  تشوينات الارضيات (م)          1
       التشطيبات                يوميات         40
       التشطيبات           اعمال الهدم         18
       التشطيبات         اعمال السقالة         18
       التشطيبات        اعمال الشفاطات          6
